,club_id,club_name,squad_size,average_age,foreigners_percentage,national_team_players,stadium_name,stadium_seats,domestic_competition
39,2687,Cádiz CF,29,29.1,31.0,4,Nuevo Mirandilla,21094,laliga
298,2696,Krylya Sovetov Samara,25,25.1,28.0,5,Solidarnost Samara Arena,42347,premier-liga
142,2698,Rubin Kazan,33,26.7,24.2,2,Ak Bars Arena,45379,premier-liga
143,2700,Anzhi Makhachkala ( -2022),0,,,0,RDYuSSh MinObrNauki RD Politekh Makhachkala,1600,premier-liga
108,2703,Spartak Vladikavkaz (-2020),0,,,0,Republican Stadium Spartak,32464,premier-liga
200,2715,RFC Seraing,28,23.9,67.9,3,Stade du Paray,6744,jupiler-pro-league
144,2722,SPAL,32,26.0,25.0,2,Paolo Mazza,16134,serie-a
40,2727,Oud-Heverlee Leuven,22,25.4,50.0,3,King Power at Den Dreef Stadion,10020,jupiler-pro-league
299,2740,Vorskla Poltava,30,25.1,30.0,2,Vorskla im. Oleksiy Butovskyi,23842,premier-liga
222,2759,Ross County FC,31,24.7,54.8,2,Global Energy Stadium,6541,scottish-premiership
395,2760,Partick Thistle FC,19,27.9,5.3,0,The Energy Check Stadium at Firhill,10102,scottish-premiership
41,2778,FC Nordsjaelland,29,21.6,41.4,3,Right to Dream Park,10300,superligaen
165,2783,Metalurg Donetsk (- 2015),0,,,0,Metalurg,5090,premier-liga
300,2832,Gaziantep FK,6,23.0,50.0,0,Kalyon Stadyumu,33502,super-lig
202,2861,KV Oostende,32,24.0,59.4,4,Diaz Arena,8432,jupiler-pro-league
8,2919,AC Monza,30,26.9,30.0,2,U-Power Stadium - Brianteo,15039,serie-a
301,2921,Delfino Pescara 1936,28,24.6,21.4,1,Adriatico,20476,serie-a
247,2944,Ankaraspor,30,23.8,3.3,0,Osmanlı Stadı,19626,super-lig
248,2969,Dijon FCO,29,25.8,48.3,4,Stade Gaston-Gérard,16098,ligue-1
302,2990,Académica Coimbra,26,25.2,23.1,0,Estádio Cidade de Coimbra,29744,liga-portugal-bwin
272,2995,FC Paços de Ferreira,27,25.7,40.7,2,Estádio Capital do Móvel,9076,liga-portugal-bwin
249,2999,Hamilton Academical FC,28,22.8,32.1,0,Fountain of Youth Stadium,6018,scottish-premiership
203,3008,Hull City,28,25.0,60.7,6,MKM Stadium,25586,premier-league
331,3057,Standard Liège,25,24.4,52.0,6,Maurice Dufrasne Stadion,27670,jupiler-pro-league
111,3060,Atromitos Athen,26,26.2,50.0,2,Stadio Peristeriou,9050,super-league-1
9,3205,Kayserispor,28,25.8,46.4,3,RHG Enertürk Enerji Stadyumu,32864,super-lig
83,3216,Mersin Talimyurdu SK,0,,,0,Mersin Stadyumu,25000,super-lig
273,3268,Casa Pia AC,28,26.8,67.9,4,Estádio Nacional do Jamor,37593,liga-portugal-bwin
250,3302,UD Almería,26,26.3,50.0,2,Power Horse Stadium,15274,laliga
377,3325,GD Chaves,27,26.4,63.0,3,Estádio Municipal Eng.º Manuel Branco Teixeira,9000,liga-portugal-bwin
348,3327,FC Penafiel,28,27.9,14.3,0,Estádio Municipal 25 de Abril,5230,liga-portugal-bwin
204,3329,FC Famalicão,30,24.4,66.7,5,Estádio Municipal de Famalicão,5305,liga-portugal-bwin
146,3336,Desportivo Aves (- 2020),0,,,0,Estádio CD das Aves,5441,liga-portugal-bwin
332,3349,CD Feirense,24,25.0,45.8,2,Estádio Marcolino de Castro,5401,liga-portugal-bwin
274,3368,Levante UD,23,27.5,26.1,0,Ciutat de València,26354,laliga
304,3426,Esbjerg fB,27,22.7,37.0,2,Blue Water Arena,16942,superligaen
42,3508,SV Zulte Waregem,30,25.4,56.7,4,Elindus Arena,12250,jupiler-pro-league
349,3522,Spezia Calcio,29,25.9,75.9,10,Alberto Picco,11676,serie-a
112,3524,Clermont Foot 63,25,25.8,60.0,7,Stade Gabriel-Montpied,13000,ligue-1
43,3558,GFC Ajaccio,5,26.8,20.0,1,Stade Ange-Casanova,4050,ligue-1
276,3592,Kryvbas Kryvyi Rig,27,26.0,14.8,1,Girnyk,2500,premier-liga
378,3609,Rotor Volgograd,27,23.9,7.4,0,Volgograd Arena,45568,premier-liga
44,3690,SKA Khabarovsk,27,25.7,14.8,0,Lenin Stadion,15200,premier-liga
278,3691,Tom Tomsk,0,,,0,Trud,10028,premier-liga
397,3709,Getafe CF,25,27.8,48.0,7,Coliseum Alfonso Pérez,16800,laliga
45,3714,Enisey Krasnoyarsk,26,25.6,7.7,1,Zentralstadion Krasnoyarsk,15000,premier-liga
223,3719,FK Khimki,27,25.3,44.4,2,Arena Khimki,18636,premier-liga
307,3725,Akhmat Grozny,30,26.2,33.3,2,Akhmat-Arena,30200,premier-liga
333,3729,Arsenal Tula,27,27.4,7.4,1,Arsenal,19241,premier-liga
66,3840,Adana Demirspor,28,27.4,53.6,2,Yeni Adana Stadyumu,33000,super-lig
172,3911,Stade Brestois 29,26,25.5,34.6,5,Stade Francis-Le Blé,15097,ligue-1
11,3948,Royale Union Saint Gilloise,24,25.1,70.8,7,Stade Joseph Mariën,8000,jupiler-pro-league
252,3999,PAS Lamia 1964,33,28.7,48.5,5,"Stadio Lamia ""Athanasios Diakos""",5500,super-league-1
86,4083,FC Crotone,25,27.0,24.0,1,Ezio Scida,16640,serie-a
382,4102,AC Carpi,25,23.6,24.0,1,Sandro Cabassi,5510,serie-a
253,4128,Amkar Perm,26,26.0,,0,Zvezda,17000,premier-liga
175,4171,Benevento Calcio,31,26.7,51.6,2,Ciro Vigorito,16867,serie-a
334,4294,SC Farense,28,27.6,53.6,1,Estádio São Luís,15000,liga-portugal-bwin
68,4482,Volyn Lutsk,0,,,0,Stadion Avangard,12080,premier-liga
69,4603,AE Larisa,28,24.2,21.4,0,Stadio Alkazar,13108,super-league-1
116,4750,SC Olhanense,21,23.0,47.6,0,Estádio José Arcanjo,10080,liga-portugal-bwin
335,4795,FC Ingolstadt 04,28,24.3,28.6,1,Audi Sportpark,15800,bundesliga
256,5219,AOK Kerkyra,8,28.1,12.5,0,Ethniko Stadio Kerkyras,3000,super-league-1
117,5220,GS Ergotelis,3,23.3,,0,Pankritio Stadio,25780,super-league-1
16,5358,SD Huesca,24,27.5,33.3,2,El Alcoraz,9128,laliga
118,5572,Niki Volou,26,27.2,26.9,2,Panthessaliko Stadio,22700,super-league-1
313,5724,Randers FC,23,26.1,52.2,2,Cepheus Park Randers,10300,superligaen
87,5817,SönderjyskE,30,24.0,30.0,1,Sydbank Park,10000,superligaen
280,5818,Hobro IK,22,24.8,18.2,2,DS Arena,7500,superligaen
179,6195,SSC Napoli,27,26.3,70.4,19,Stadio Diego Armando Maradona,54726,serie-a
357,6414,Metalist Kharkiv (- 2016),0,,,0,OSK Metalist,38685,premier-liga
385,6418,Panetolikos GFS,31,25.9,41.9,5,Gipedo Panetolikou,7321,super-league-1
21,6574,US Sassuolo,26,26.1,57.7,7,Mapei Stadium - Città del Tricolore,21584,serie-a
22,6646,Fatih Karagümrük,31,26.1,54.8,4,Atatürk Olimpiyat,74753,super-lig
315,6676,Asteras Tripolis,32,27.3,75.0,0,Gipedo Theodoros Kolokotronis,7423,super-league-1
72,6890,Basaksehir FK,29,26.6,44.8,8,Başakşehir Fatih Terim,17156,super-lig
338,6894,Kayseri Erciyesspor,0,,,0,Kayseri Atatürk Spor Kompleksi Yan Açık Saha,2000,super-lig
73,6912,FC Vizela,26,25.0,73.1,4,Estádio do Vizela,6565,liga-portugal-bwin
317,6992,Chornomorets Odessa,25,27.7,16.0,0,Stadion Chornomorets (2011),34164,premier-liga
230,6993,FK Mariupol,0,,,0,Stadion im. Volodymyra Boyko,12680,premier-liga
359,6994,Metalurg Zaporizhya (-2016),0,,,0,Slavutych Arena,11883,premier-liga
231,6996,Goverla Uzhgorod (- 2016),0,,,0,Avangard,10640,premier-liga
153,7179,CD Tondela,26,22.8,46.2,2,Estádio João Cardoso,5000,liga-portugal-bwin
360,7185,Panthrakikos Komotini,29,24.3,10.3,0,Stadio Komotinis OPAP,5601,super-league-1
154,7378,Portimonense SC,31,25.4,71.0,4,Portimonense Estádio,6000,liga-portugal-bwin
75,7775,Hatayspor,13,29.0,53.8,0,Yeni Hatay Stadyumu,25000,super-lig
212,8024,FC Arouca,26,26.0,76.9,1,Estádio Municipal de Arouca,5600,liga-portugal-bwin
25,8838,Zirka Kropyvnytskyi,7,27.4,,0,Zirka,14628,premier-liga
284,8970,Frosinone Calcio,29,25.4,37.9,3,Benito Stirpe,16227,serie-a
77,9007,Arsenal Kyiv,0,,,0,NSK Olimpisky,70050,premier-liga
155,10484,Kasimpasa,34,27.4,50.0,4,Recep Tayyip Erdoğan Stadyumu,13856,super-lig
55,10690,Zorya Lugansk,30,24.4,3.3,2,Valeriy Lobanovsky Stadion,16873,premier-liga
236,11126,Mordovia Saransk (-2020),0,,,0,Mordovia Arena,44442,premier-liga
94,11127,Ural Yekaterinburg,28,27.3,35.7,1,Yekaterinburg Arena,23000,premier-liga
340,11282,Alanyaspor,32,25.6,46.9,6,Kırbıyık Holding Stadyumu,10128,super-lig
237,11688,Giresunspor,25,25.5,40.0,4,Çotanak Spor Kompleksi,21500,super-lig
366,12321,Girona FC,25,26.7,44.0,4,Montilivi,13286,laliga
30,12438,Volga Nizhniy Novgorod (- 2016),0,,,0,Zentralstadion Lokomotiv,17856,premier-liga
129,14171,Thonon Évian Grand Genève FC,27,27.4,22.2,1,Stade Camille Fournier,2500,ligue-1
240,14589,FK Orenburg,26,25.6,50.0,4,Gazovik,10046,premier-liga
33,16239,Desna Chernigiv,0,,,0,Stadion im. Yuriya Gagarina,12060,premier-liga
135,16245,FK Sevastopol (- 2014),0,,,0,SK Sevastopol,5826,premier-liga
162,16247,PFK Stal Kamyanske (-2018),0,,,0,Obolon,5100,premier-liga
60,16704,FK Krasnodar,23,24.8,52.2,5,Stadion Krasnodar,35179,premier-liga
373,16795,Granada CF,28,28.0,28.6,3,Nuevo Los Cármenes,19336,laliga
104,18105,PFK Lviv,28,25.3,21.4,0,Stadion SKIF,3742,premier-liga
392,18303,FK Oleksandriya,28,24.5,7.1,3,KSK Nika,7000,premier-liga
136,19657,Vendsyssel FF,24,25.1,29.2,0,Nord Energi Arena,10000,superligaen
218,19771,Akhisarspor,14,21.0,,0,Spor Toto Akhisar Stadyumu,12139,super-lig
393,19789,Yeni Malatyaspor,10,22.9,10.0,0,Yeni Malatya Stadyumu,25745,super-lig
325,20100,FC Vestsjaelland,0,,,0,Harboe Arena,10000,superligaen
344,20698,Balikesirspor,22,22.0,4.5,0,Balıkesir Atatürk,15800,super-lig
268,21957,AO Platanias,0,,,0,Dimotiko Gipedo Perivolia,3700,super-league-1
63,22110,FC Helsingör,23,24.6,17.4,1,Helsingør Ny Stadion,4000,superligaen
163,23611,Olimpik Donetsk,0,,,0,NTK im. B. M. Bannikova,1678,premier-liga
106,23826,RB Leipzig,27,25.7,63.0,18,Red Bull Arena,47069,bundesliga
4,24245,Ümraniyespor,23,28.4,39.1,2,Ümraniye Belediyesi Şehir Stadı,3513,super-lig
6,26459,NK Veres Rivne,22,27.2,,0,Stadion Avangard (2022),10000,premier-liga
201,28095,FK Ufa,26,24.4,11.5,0,Neftyanik,15132,premier-liga
145,28643,SK Beveren,27,26.8,59.3,3,Freethielstadion,13290,jupiler-pro-league
166,28956,AEL Kalloni,0,,,0,Stadio Mytilinis,4000,super-league-1
246,29228,Royal Excel Mouscron (-2022),0,,,0,Le Canonnier,10830,jupiler-pro-league
46,39722,Erzurumspor FK,28,26.1,25.0,1,Erzurum Kazım Karabekir,23700,super-lig
208,40426,FC Tosno (-2018),0,,,0,Petrovsky,20985,premier-liga
354,41201,PFK Tambov (-2021),0,,,0,Mordovia Arena,44149,premier-liga
209,41231,FC Sochi,25,28.0,28.0,2,Fisht Olympic Stadium,45994,premier-liga
12,41274,Beerschot V.A.,26,23.9,46.2,2,Olympisch Stadion,12771,jupiler-pro-league
224,48332,Kolos Kovalivka,24,27.2,4.2,1,Kolos,5050,premier-liga
14,48726,Rukh Lviv,27,23.0,22.2,0,Arena Lviv,34512,premier-liga
225,49364,Ingulets Petrove,28,26.5,7.1,0,Stadion Ingulets,1720,premier-liga
48,49702,FC Pari Nizhniy Novgorod,26,25.8,19.2,1,Nizhny Novgorod Stadium,44242,premier-liga
150,55686,Metalist 1925 Kharkiv,27,25.7,7.4,0,Stadion Kolos,0,premier-liga
152,60551,SK Dnipro-1,29,26.0,31.0,6,Avangard,10640,premier-liga
282,60949,Volos NPS,26,26.5,61.5,2,Panthessaliko Stadio,22700,super-league-1
337,61825,FK Minaj,25,26.0,4.0,0,Stadion Minaj,2000,premier-liga
229,68608,CF Os Belenenses,30,25.7,16.7,0,Estádio do Restelo,19980,liga-portugal-bwin
387,83678,Metalist Kharkiv,26,25.6,15.4,0,Avangard,10640,premier-liga
