,club_id,club_name,squad_size,average_age,foreigners_percentage,national_team_players,stadium_name,stadium_seats,domestic_competition
64,317,Twente Enschede FC,24,25.5,41.7,4,De Grolsch Veste,30205,eredivisie
347,331,CA Osasuna,22,27.9,18.2,3,El Sadar,23576,laliga
85,336,Sporting CP,33,24.6,48.5,8,Estádio José Alvalade XXI,50095,liga-portugal-bwin
65,338,Dynamo Kyiv,30,24.5,20.0,7,Valeriy Lobanovsky Stadion,16873,premier-liga
275,339,Dnipro Dnipropetrovsk (-2020),0,,,0,Meteor,24381,premier-liga
205,347,FC Metz,21,25.0,66.7,7,Stade Saint-Symphorien,26700,ligue-1
206,350,Sheffield United,27,26.7,51.9,9,Bramall Lane,32702,premier-league
350,354,KV Mechelen,30,24.3,33.3,4,AFAS Stadion,16672,jupiler-pro-league
277,366,Real Valladolid CF,24,28.0,41.7,7,Nuevo José Zorrilla,27618,laliga
396,367,Rayo Vallecano,25,28.8,32.0,5,Campo de Fútbol de Vallecas,15105,laliga
251,368,Sevilla FC,24,28.9,75.0,10,Ramón Sánchez-Pizjuán,43883,laliga
305,369,Lyngby BK,30,24.2,23.3,3,Lyngby Stadion,10000,superligaen
306,370,Aberdeen FC,25,24.8,68.0,5,Pittodrie Stadium,22199,scottish-premiership
207,371,Celtic FC,29,25.7,72.4,15,Celtic Park,60832,scottish-premiership
170,379,West Ham United,23,28.0,73.9,13,London Stadium,62500,premier-league
398,380,US Salernitana 1919,27,26.9,63.0,12,Arechi,29739,serie-a
10,383,PSV Eindhoven,24,25.6,58.3,8,Philips Stadion,35000,eredivisie
171,385,Fortuna Sittard,26,25.9,69.2,2,Fortuna Sittard Stadion,12500,eredivisie
147,398,SS Lazio,26,27.3,61.5,8,Olimpico di Roma,73261,serie-a
351,399,Leeds United,32,24.8,68.8,11,Elland Road,37890,premier-league
381,403,Willem II Tilburg,27,25.9,25.9,0,Koning Willem II Stadion,14700,eredivisie
173,405,Aston Villa,29,26.6,58.6,11,Villa Park,42682,premier-league
353,410,Udinese Calcio,27,25.5,81.5,8,Dacia Arena,25144,serie-a
383,415,FC Toulouse,26,24.5,88.5,7,Stadium Municipal,33150,ligue-1
114,416,Torino FC,28,24.7,82.1,16,Stadio Olimpico Grande Torino,28177,serie-a
174,417,OGC Nice,27,24.5,66.7,13,Allianz Riviera,36178,ligue-1
176,418,Real Madrid,24,27.7,70.8,16,Santiago Bernabéu,81044,laliga
254,430,ACF Fiorentina,26,26.6,53.8,7,Artemio Franchi,43147,serie-a
148,441,Apollon Smyrnis,27,27.3,55.6,0,Stadio Neas Smyrnis,11700,super-league-1
67,443,Vejle Boldklub,27,24.0,63.0,3,Vejle Stadion,10418,superligaen
384,449,Trabzonspor,31,25.6,41.9,12,Şenol Güneş Spor Kompleksi,40782,super-lig
115,458,Palermo FC,28,25.6,25.0,4,"Comunale Renzo Barbera ""La Favorita""",36365,serie-a
401,465,St. Mirren FC,26,26.4,61.5,5,The SMISA Stadium,8023,scottish-premiership
177,467,NEC Nijmegen,27,24.3,33.3,1,Goffertstadion,12500,eredivisie
402,468,Sparta Rotterdam,24,26.3,37.5,1,"Sparta-stadion ""Het Kasteel""",11026,eredivisie
403,472,UD Las Palmas,26,26.8,23.1,1,Estadio de Gran Canaria,32400,laliga
13,475,Sint-Truidense VV,23,26.4,65.2,3,Stayen,14600,jupiler-pro-league
15,498,KSC Lokeren (- 2020),0,,,0,Daknamstadion,12000,jupiler-pro-league
310,499,Vitesse Arnhem,28,23.8,46.4,4,GelreDome,21248,eredivisie
255,506,Juventus FC,28,27.1,60.7,16,Allianz Stadium,41507,serie-a
226,511,Dundee FC,27,25.2,44.4,0,Kilmac Stadium at Dens Park,11850,scottish-premiership
312,512,Stoke City,24,26.7,37.5,6,bet365 Stadium,30089,premier-league
227,520,Cercle Brugge,23,23.9,60.9,4,Jan-Breydel-Stadion,29062,jupiler-pro-league
336,524,Gaziantepspor (- 2020),0,,,0,Gaziantep Stadyumu,33502,super-lig
279,533,TSG 1899 Hoffenheim,31,26.0,54.8,9,PreZero Arena,30150,bundesliga
149,543,Wolverhampton Wanderers,31,25.9,83.9,15,Molineux Stadium,32050,premier-league
17,553,Ionikos Nikeas,27,28.7,59.3,1,Dimotiko Gipedo Neapolis,6000,super-league-1
210,566,Beerschot AC,0,,,0,Olympisch Stadion,12771,jupiler-pro-league
355,583,Paris Saint-Germain,27,25.2,63.0,13,Parc des Princes,49691,ligue-1
70,589,Antalyaspor,31,26.5,54.8,5,Corendon Airlines Park Antalya Stadı,32537,super-lig
257,595,SC Bastia,25,27.6,32.0,6,Stade Armand-Cesari,16480,ligue-1
356,601,KV Kortrijk,28,25.3,71.4,5,Guldensporenstadion,9399,jupiler-pro-league
19,603,Cardiff City,28,25.5,85.7,8,Cardiff City Stadium,33280,premier-league
281,605,Aris Thessaloniki,30,27.2,73.3,7,"Gipedo ""Kleanthis Vikelidis""",22800,super-league-1
20,607,Venezia FC,27,25.6,63.0,5,Pier Luigi Penzo,11150,serie-a
228,610,Ajax Amsterdam,26,24.4,42.3,15,Johan Cruijff ArenA,55600,eredivisie
258,618,AS Saint-Étienne,29,25.1,27.6,3,Stade Geoffroy-Guichard,42000,ligue-1
314,621,Athletic Bilbao,25,27.9,4.0,4,San Mamés,53289,laliga
50,631,Chelsea FC,33,25.7,66.7,25,Stamford Bridge,40853,premier-league
71,641,Middlesbrough FC,25,26.1,32.0,6,Riverside Stadium,33746,premier-league
358,642,De Graafschap Doetinchem,30,23.7,20.0,0,"Stadion ""De Vijverberg""",12600,eredivisie
211,653,OFI Crete FC,31,26.6,51.6,3,Gipedo Theodoros Vardinogiannis,9088,super-league-1
404,660,Shakhtar Donetsk,31,24.8,19.4,14,Arena Lviv,34915,premier-liga
23,667,RC Strasbourg Alsace,26,26.7,42.3,8,Stade de la Meinau,29000,ligue-1
119,678,Aarhus GF,23,25.1,39.1,2,Ceres Park,19433,superligaen
316,681,Real Sociedad,27,25.6,14.8,6,Reale Arena,39313,laliga
51,683,Olympiacos Piraeus,29,27.6,65.5,11,Stadio Georgios Karaiskakis,32115,super-league-1
74,703,Nottingham Forest,38,27.8,63.2,15,The City Ground,30445,premier-league
318,714,RCD Espanyol Barcelona,27,26.3,25.9,5,RCDE Stadium,40500,laliga
180,720,FC Porto,28,26.7,53.6,8,Estádio do Dragão,50033,liga-portugal-bwin
319,724,FC Volendam,32,22.8,40.6,0,Kras Stadion,7384,eredivisie
405,749,FC Empoli,30,25.3,46.7,9,Carlo Castellani,19847,serie-a
406,750,FC Sochaux-Montbéliard,25,26.2,44.0,4,Stade Auguste-Bonal,20005,ligue-1
88,762,Newcastle United,34,27.7,55.9,13,St James' Park,52338,premier-league
361,798,Excelsior Rotterdam,28,23.7,35.7,1,Van Donge & De Roo Stadion - Woudestein,4400,eredivisie
320,800,Atalanta BC,25,26.7,68.0,11,Gewiss Stadium,21747,serie-a
321,820,Genclerbirligi Ankara,34,26.1,29.4,1,Eryaman Stadyumu,20560,super-lig
52,825,Eskisehirspor,41,23.9,2.4,0,Eskişehir Yeni Stadyum,34930,super-lig
232,826,RC Lens,30,25.8,60.0,11,Stade Bollaert-Delelis,38223,ligue-1
181,833,Denizlispor,27,25.8,11.1,1,Denizli Atatürk Stadı,18745,super-lig
24,855,EA Guingamp,27,25.4,25.9,1,Stade du Roudourou,18120,ligue-1
182,862,Chievo Verona,0,,,0,Marcantonio Bentegodi,31045,serie-a
54,865,FC Midtjylland,27,23.9,55.6,7,MCH Arena,11535,superligaen
76,868,MKE Ankaragücü,31,26.1,51.6,5,Eryaman Stadyumu,20560,super-lig
89,873,Crystal Palace,27,26.7,51.9,8,Selhurst Park,26047,premier-league
26,897,Deportivo de La Coruña,24,27.7,12.5,0,Abanca Riazor,32912,laliga
260,903,Hibernian FC,26,26.5,57.7,5,Easter Road Stadium,20250,scottish-premiership
362,924,Istanbulspor,35,24.9,48.6,5,Esenyurt Necmi Kadıoğlu Stadyumu,7500,super-lig
183,931,Fulham FC,26,27.9,88.5,13,Craven Cottage,22384,premier-league
322,932,Lokomotiv Moscow,29,24.3,24.1,9,RZD Arena,27084,premier-liga
408,940,Celta de Vigo,23,26.5,43.5,6,Abanca Balaídos,29000,laliga
388,964,Zenit St. Petersburg,23,26.6,43.5,11,Gazprom Arena,63026,premier-liga
184,968,KVC Westerlo,27,26.4,59.3,3,Het Kuipje,8035,jupiler-pro-league
121,969,Montpellier HSC,28,25.9,42.9,5,Stade de la Mosson,32939,ligue-1
409,976,CF União Madeira (-2021),0,,,0,Centro Desportivo da Madeira,2500,liga-portugal-bwin
389,979,Moreirense FC,25,26.6,64.0,1,E. C. J. de Almeida Freitas,6153,liga-portugal-bwin
185,982,CD Nacional,27,25.0,44.4,2,Estádio da Madeira,5586,liga-portugal-bwin
323,984,West Bromwich Albion,25,27.8,32.0,4,The Hawthorns,26850,premier-league
233,985,Manchester United,38,25.3,60.5,22,Old Trafford,74879,premier-league
410,987,Motherwell FC,31,26.1,61.3,2,Fir Park,13750,scottish-premiership
90,989,AFC Bournemouth,31,26.2,58.1,14,Vitality Stadium,11329,premier-league
213,993,Córdoba CF,24,27.9,16.7,0,Nuevo Arcángel,21822,laliga
285,995,FC Nantes,27,26.3,44.4,8,Stade de la Beaujoire,37463,ligue-1
286,1003,Leicester City,30,27.1,63.3,15,King Power Stadium,32273,premier-league
91,1005,US Lecce,31,24.6,61.3,6,Ettore Giardiniero,31559,serie-a
287,1010,Watford FC,30,26.3,80.0,12,Vicarage Road,21577,premier-league
92,1025,Bologna FC 1909,31,25.7,67.7,9,Stadio Renato Dall’Ara,36462,serie-a
186,1032,Reading FC,27,27.1,63.0,7,Select Car Leasing Stadium,24161,premier-league
363,1038,UC Sampdoria,29,26.6,58.6,7,Luigi Ferraris,36348,serie-a
27,1039,Queens Park Rangers,26,25.9,57.7,8,Loftus Road Stadium,18360,premier-league
78,1041,Olympique Lyon,23,25.3,43.5,3,Groupama Stadium,59186,ligue-1
214,1049,Valencia CF,25,25.2,56.0,9,Mestalla,55000,laliga
122,1050,Villarreal CF,23,28.5,39.1,8,La Cerámica,23500,laliga
364,1053,Aalborg BK,26,24.6,34.6,0,Aalborg Portland Park,13800,superligaen
390,1063,Viborg FF,24,23.8,54.2,4,Viborg Stadion,9566,superligaen
261,1071,Wigan Athletic,27,27.9,55.6,8,DW Stadium,25133,premier-league
365,1075,SC Braga,25,25.7,56.0,3,Estádio Municipal de Braga,30286,liga-portugal-bwin
56,1082,LOSC Lille,23,26.0,65.2,8,Decathlon Arena-Stade Pierre-Mauroy,50186,ligue-1
93,1083,FK Rostov,24,24.8,12.5,8,Rostov Arena,45415,premier-liga
28,1084,Málaga CF,27,27.9,29.6,0,La Rosaleda,30044,laliga
187,1085,Vitória Setúbal FC,29,26.0,34.5,0,Estádio do Bonfim,18642,liga-portugal-bwin
188,1090,AZ Alkmaar,28,23.3,39.3,7,AFAS Stadion,19478,eredivisie
235,1091,PAOK Thessaloniki,30,27.0,73.3,7,Toumba Stadium,28703,super-league-1
339,1095,ESTAC Troyes,28,25.4,50.0,4,Stade de l'Aube,21877,ligue-1
123,1096,Royal Antwerp FC,26,25.2,53.8,4,De Bosuil,16144,jupiler-pro-league
289,1108,Deportivo Alavés,24,26.1,41.7,3,Mendizorroza,19840,laliga
124,1110,Huddersfield Town,33,26.7,36.4,3,John Smith's Stadium,24500,premier-league
95,1123,Norwich City,25,26.0,68.0,12,Carrow Road,27244,premier-league
